ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
-1.701,0.506,9.459,-1.651,0.553,9.651,-0.07,-0.04,-0.078,2.1,-16.8,-13.5,47.411,78.3,27,-89.8,297.9,-3.2,9.7,52.5
-1.599,0.342,9.712,-1.474,0.544,9.68,-0.142,-0.196,0.143,1.9,-16.4,-15,47.411,78.2,27.7,-90.7,297.9,-3.2,8.7,52.5
-1.261,0.568,9.759,-1.12,0.527,9.728,-0.153,0.047,0.14,0.2,-17.2,-6.8,46.989,78.1,28.3,-90.2,296.3,-3.1,6.6,47.84
-1.249,0.475,9.909,-0.961,0.518,9.746,-0.299,-0.037,0.268,-0.4,-12.1,-4.5,45.474,77.4,28.3,-88.5,295.9,-3,5.6,47.84
-1.125,0.482,9.812,-0.829,0.513,9.758,-0.303,-0.026,0.133,1.3,-4.9,-7.2,43.537,75.8,28,-83.8,295.5,-3,4.9,47.84
-1.023,0.516,9.536,-0.836,0.52,9.757,-0.195,0,-0.128,0.8,1.1,-3.9,43.537,75.1,27.5,-81.2,295.7,-3,4.9,43.91
-0.949,0.537,9.438,-0.816,0.53,9.758,-0.142,0.013,-0.214,0.5,-7.6,0,42.947,72.4,26.4,-73.1,294.7,-3.1,4.8,43.91
0.408,0.599,9.438,-0.577,0.537,9.775,0.978,0.069,-0.226,0.5,-31.3,-0.9,42.105,67.1,25.3,-63.4,294.4,-3.1,3.4,43.91
-0.197,0.421,9.943,-0.018,0.482,9.795,-0.179,-0.057,0.258,0.3,-1.6,0,37.558,57.3,23.4,-45.7,293.9,-2.8,0.1,43.91
-0.204,0.418,9.888,-0.008,0.484,9.795,-0.196,-0.06,0.2,0.1,-0.7,0,37.558,52.5,22.1,-37.3,294.6,-2.8,0,45.25
-0.147,0.371,9.507,0.017,0.479,9.795,-0.164,-0.103,-0.179,-0.3,-3,0,36.968,42.8,20,-20.5,296,-2.8,-0.1,45.25
-0.166,0.375,9.659,0.016,0.467,9.795,-0.182,-0.087,-0.024,0.1,-0.9,0,36.547,38.1,19,-12.7,297.3,-2.7,-0.1,45.25
-0.14,0.404,9.731,-0.01,0.456,9.796,-0.13,-0.048,0.039,0.1,-0.4,0,36.547,34.2,17.9,-7.1,298.3,-2.7,0.1,35.86
-0.123,0.411,9.693,-0.019,0.452,9.796,-0.104,-0.036,0.001,0,-0.4,-0.1,36.632,33.7,17.7,-6.7,298.3,-2.6,0.1,35.86
-0.173,0.378,9.716,-0.043,0.44,9.797,-0.131,-0.058,0.013,-0.1,-0.3,-0.1,36.547,33.4,17.8,-6.4,299,-2.6,0.2,35.86
-0.13,0.375,9.774,-0.049,0.433,9.797,-0.082,-0.054,0.062,0.1,-0.4,0,36.8,33.3,17.7,-6.4,299,-2.5,0.3,29.11
-0.116,0.373,9.728,-0.057,0.429,9.797,-0.06,-0.052,0.023,-0.2,-0.2,-0.1,36.8,33.1,18,-6.2,299,-2.5,0.3,29.11
-0.161,0.43,9.833,-0.064,0.429,9.797,-0.097,0.005,0.114,0.1,-0.7,-0.1,36.463,33.2,18.1,-6.3,299,-2.5,0.4,29.11
-0.147,0.421,9.747,-0.069,0.429,9.797,-0.078,-0.006,0.024,0,-0.4,-0.1,36.632,33.1,18.1,-6.4,299,-2.5,0.4,30.18
-0.125,0.406,9.724,-0.072,0.428,9.797,-0.054,-0.018,0,0.1,-0.3,-0.1,36.463,33.1,18.1,-6.4,299,-2.5,0.4,30.18
-0.137,0.404,9.752,-0.076,0.428,9.797,-0.062,-0.021,0.028,0,-0.3,-0.1,36.463,32.9,18.1,-6.3,299,-2.5,0.4,30.18
-0.13,0.399,9.716,-0.079,0.426,9.797,-0.052,-0.023,-0.007,0,-0.3,-0.1,36.716,33,17.9,-6.4,299,-2.5,0.5,31.07
-0.118,0.549,10.409,-0.077,0.445,9.796,-0.042,0.104,0.609,1.3,-1,-0.1,36.211,33,17.8,-6.6,299.1,-2.6,0.4,31.07
