ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.198,-0.117,9.821,0.232,-0.139,9.803,-0.033,0.021,0.046,0.1,-0.4,-2.8,26.274,-13.9,14.6,-30.4,42.4,0.8,-1.4,46.56
0.139,-0.177,9.726,0.226,-0.143,9.803,-0.086,-0.035,-0.044,0,-0.3,0.2,26.779,-13.3,14.6,-28.9,40.2,0.8,-1.3,46.56
0.158,-0.129,9.788,0.219,-0.146,9.803,-0.06,0.016,0.016,-0.1,-0.3,0,26.105,-13.1,14.8,-28.1,40.3,0.9,-1.3,46.56
0.091,-0.127,9.745,0.208,-0.144,9.803,-0.116,0.017,-0.024,0,-0.3,-2.5,26.105,-12.3,15.4,-27.2,38,0.8,-1.2,42.28
0.017,-0.182,9.69,0.191,-0.147,9.804,-0.173,-0.036,-0.07,0.2,-0.4,-5.4,26.105,-12.2,15.5,-27.1,36.3,0.9,-1.1,42.28
0.132,-0.165,9.747,0.202,-0.151,9.803,-0.069,-0.015,-0.007,0.1,-0.4,-7.2,26.358,-11.6,15.9,-26.5,36.3,0.9,-1.2,42.28
0.329,-0.16,9.747,0.221,-0.15,9.803,0.109,-0.011,-0.006,0,-0.4,-3.5,26.358,-11.5,16.3,-26.3,33.7,0.9,-1.3,42.27
0.046,-0.156,9.776,0.207,-0.153,9.803,-0.16,-0.004,0.018,-0.1,-0.3,2.1,26.105,-11.5,16.7,-26.5,32.2,0.9,-1.2,42.27
0.217,-0.144,9.759,0.211,-0.153,9.803,0.007,0.009,0.002,-0.1,-0.3,0.3,26.105,-11.5,16.9,-26.3,32.2,0.9,-1.2,42.27
0.151,-0.172,9.731,0.205,-0.153,9.803,-0.054,-0.02,-0.025,0,-0.4,-1.6,26.611,-11.3,17.1,-25.6,32.2,0.9,-1.2,43.48
0.051,-0.21,9.833,0.192,-0.159,9.803,-0.14,-0.052,0.068,0,-0.4,-0.7,26.274,-11.3,17.1,-25.6,32.3,0.9,-1.1,43.48
