ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
7.185,-0.125,6.603,7.143,-0.156,6.717,0.051,0.031,-0.105,-18.9,-17.5,-19.2,9.179,12.1,-4.1,-11,256.2,1,-45.7,42.57
7.323,-0.255,6.479,7.289,-0.158,6.558,0.045,-0.098,-0.069,-18.6,-18,-18.6,8.674,10.3,-3.5,-9.9,254.2,0.9,-48,42.57
7.477,-0.317,6.315,7.576,-0.138,6.225,-0.087,-0.18,0.1,-17.5,-13.6,-15.4,8.674,9.2,-3.4,-9.2,256.8,0.8,-49.4,43.29
7.518,-0.298,6.241,7.645,-0.133,6.14,-0.115,-0.165,0.111,-15.8,-5.6,-13.6,8.674,6.8,-3.2,-8,254.3,0.8,-51.2,43.29
7.663,-0.458,6.286,7.678,-0.159,6.098,-0.015,-0.299,0.189,-14.8,-3.2,-13.4,7.663,5.7,-2.9,-7.3,252,0.8,-51.5,43.29
7.749,0.04,5.991,7.722,-0.125,6.043,0.028,0.165,-0.051,-13,-7.4,-11.7,7.411,3.5,-2.6,-6.2,245.3,0.7,-52,40.95
7.737,-0.132,5.863,7.819,-0.118,5.917,-0.067,-0.013,-0.043,-14.4,-7.5,-12,7.411,2.4,-2.6,-5.5,243.1,0.7,-52.4,40.95
7.896,-0.117,5.753,7.88,-0.112,5.837,0.034,-0.005,-0.071,-13.5,-8.1,-10.7,6.989,0.4,-2.8,-4.8,232.9,0.7,-53.5,40.95
7.849,-0.241,5.922,7.911,-0.121,5.794,-0.049,-0.121,0.138,-13.8,-3.9,-11,6.989,-0.3,-2.9,-4.6,233,0.7,-53.8,40.95
8.03,-0.146,5.52,8.071,-0.116,5.57,-0.018,-0.031,-0.034,-17.9,-19.1,-13.7,6.737,-1.9,-3.4,-3.8,215.3,0.7,-55.4,40.2
8.144,-0.244,5.346,8.199,-0.123,5.379,-0.029,-0.121,-0.016,-18.6,-20.8,-13.2,6.063,-2.6,-3.4,-3.1,195.8,0.7,-56.7,40.2
8.323,-0.158,5.327,8.346,-0.117,5.147,-0.004,-0.041,0.192,-19.5,-7.8,-13.1,6.063,-4.2,-3.5,-1.4,162.9,0.7,-58.3,40.2
8.394,-0.165,5.113,8.415,-0.112,5.034,-0.006,-0.053,0.088,-25.1,-16.7,-16.8,5.389,-5.1,-3.4,-0.5,139.9,0.7,-59.1,40.82
8.696,-0.136,4.254,8.682,-0.097,4.558,0.028,-0.04,-0.297,-33.3,-28.4,-19.4,4.463,-6.9,-3.1,2.4,121.3,0.6,-62.3,40.82
8.749,-0.122,4.313,8.791,-0.085,4.345,-0.028,-0.037,-0.025,-29.1,-13.1,-15.9,4.463,-7.8,-2.9,3.8,113.1,0.5,-63.7,40.82
8.772,-0.125,4.313,8.857,-0.061,4.209,-0.07,-0.064,0.111,-17.5,-2.1,-9.2,3.874,-9.2,-3.1,6.4,108.1,0.4,-64.6,40.82
8.801,-0.141,4.282,8.861,-0.055,4.201,-0.045,-0.086,0.088,-13,0.3,-6.6,3.621,-10.1,-3.1,7.7,104.8,0.3,-64.6,39.01
8.768,-0.194,4.446,8.824,-0.066,4.279,-0.047,-0.128,0.172,-9.9,2.8,-5.4,3.621,-11,-3.5,9.8,102.4,0.4,-64.1,39.01
8.73,-0.158,4.499,8.797,-0.07,4.334,-0.061,-0.088,0.168,-10.6,4,-5.8,3.621,-11.5,-3.8,10.3,106.3,0.4,-63.8,39.01
8.715,-0.208,4.344,8.799,-0.082,4.33,-0.071,-0.126,0.02,-13.4,-4.1,-7.5,3.537,-12.2,-4.2,11.5,104.9,0.5,-63.8,36.54
8.744,-0.141,4.313,8.814,-0.082,4.299,-0.053,-0.06,0.023,-15.2,-2.7,-8.2,3.032,-12.5,-4.1,12.1,104.2,0.5,-64,36.54
8.849,-0.141,4.301,8.849,-0.084,4.226,0.012,-0.058,0.081,-13.6,-3,-6.9,3.116,-12.8,-4.6,12.8,106.3,0.5,-64.5,36.54
8.863,-0.134,4.211,8.858,-0.085,4.207,0.015,-0.049,0.009,-12.6,-0.5,-6.5,3.116,-13,-4.7,13.1,106.3,0.5,-64.6,37.25
8.789,-0.148,4.33,8.838,-0.089,4.25,-0.042,-0.06,0.083,-12.8,3.7,-6.8,2.695,-13.4,-5.2,14.2,105.5,0.5,-64.3,37.25
8.768,-0.12,4.401,8.814,-0.086,4.299,-0.04,-0.034,0.105,-11.8,3.6,-6.4,2.779,-13.4,-5.6,14.5,108.3,0.5,-64,37.25
8.758,-0.084,4.334,8.815,-0.077,4.298,-0.051,-0.007,0.039,-11,-1.8,-5.7,2.779,-14,-6.2,14.8,107.1,0.5,-64,36.96
